pexp,lnpexp,lnpincome,lnpproper,lnedu,lnage,mari_dum,region1,region2,Prendowinsurance
3340,8.113726086,9.210340372,11.35040654,2.48490665,3.871201011,0,0,0,0
5450.000002,8.603370888,11.69524702,11.91839057,1.791759469,3.295836866,0,1,0,0
5499.999999,8.612503371,9.798127037,12.52452638,1.945910149,3.891820298,0,0,0,0
7800.000003,8.961879013,10.08580911,12.25486281,2.48490665,3.33220451,0,1,0,0
959.9999996,6.866933284,8.517193191,7.313220387,2.277267285,3.218875825,0,1,0,0
2680.000001,7.893572074,8.824677891,11.15625052,2.079441542,4.025351691,0,1,0,0
543.3333333,6.297723005,6.396929655,6.214608098,1.609437912,4.094344562,0,1,0,0
4366.666669,8.381755221,9.680344001,10.41431318,2.079441542,2.944438979,0,0,0,0
5200.000002,8.556413905,9.392661929,10.19116962,2.335374915,3.044522438,0,0,0,0
3966.666665,8.28568139,9.1413475,10.19116962,2.302585093,3.044522438,0,0,0,0
1575,7.362010551,8.740336743,10.81977828,2.014903021,3.295836866,0,0,0,0
982.2222219,6.889817578,8.236891226,9.210340372,1.673976434,3.610917913,0,0,0,0
737.1428568,6.602781709,7.264430223,8.363042512,1.232143681,3.828641396,0,1,0,0
1466.666666,7.290747531,9.210340372,10.49127422,2.079441542,2.944438979,0,0,1,0
419.9999999,6.040254711,5.926926026,8.229511119,1.47590652,3.401197382,0,0,1,0
3646.666666,8.201568787,7.755053139,10.19116962,1.734601055,3.36729583,0,0,1,0
6024.999998,8.703672758,8.411832676,7.824046011,1.909542505,2.564949357,0,0,1,0
2317.499999,7.748244297,8.229511119,8.29404964,2.197224577,2.302585093,0,0,0,0
2250,7.718685495,9.126958763,11.33060391,2.197224577,2.48490665,0,0,1,0
4408.000001,8.391176351,7.60090246,9.546812609,2.104134154,2.995732274,0,1,0,0
13880,9.538204234,11.62625415,12.10071213,2.653241965,2.995732274,0,0,0,0
2416,7.789868559,8.699514748,9.392661929,1.757857918,1.945910149,0,0,0,0
1881.2,7.53966515,7.901007052,9.481893062,1.824549292,2.302585093,0,0,1,0
645.0000001,6.469250317,6.725433722,9.028018815,1.897119985,1.945910149,0,0,1,0
3606.666668,8.190539264,8.804875264,10.50962336,2.614959778,2.995732274,1,1,0,0
3880.000001,8.263590433,8.476371197,11.00209984,2.48490665,3.737669618,1,0,0,0
7100,8.867850063,10.1266311,11.22524339,2.674148649,4.219507705,1,0,0,0
12120,9.40261226,10.59663473,12.8346813,2.197224577,3.17805383,1,0,0,0
3120.000001,8.045588281,8.29404964,11.80060754,2.48490665,3.850147602,1,0,0,0
12300,9.417354541,8.517193191,12.20607265,2.140066163,3.258096538,1,0,0,0
6479.999998,8.776475789,9.104979856,11.91839057,2.351375257,3.610917913,1,0,0,0
3255.000001,8.087947555,8.160518247,12.8346813,2.420368129,3.970291914,1,0,0,0
4400,8.38935982,8.188689124,11.69524702,2.590267165,3.828641396,1,0,0,0
5066.666666,8.530438418,9.546812609,11.57746399,2.197224577,3.33220451,1,0,0,0
8400.000001,9.035986985,9.498022444,11.80060754,2.367123614,3.80666249,1,0,0,0
3454.999999,8.147577736,8.242756346,11.15625052,2.351375257,3.970291914,1,1,0,0
2100.000001,7.649692624,8.29404964,10.81977828,2.197224577,3.555348061,1,1,0,0
1685,7.429520843,7.60090246,9.61580548,2.1102132,3.688879454,1,1,0,0
2075.000001,7.637716433,7.60090246,9.76995616,2.079441542,3.610917913,1,1,0,0
5448.000001,8.603003848,7.090076836,9.903487553,2.549445171,3.951243719,1,1,0,0
1033.333334,6.940545102,8.517193191,6.502290171,1.791759469,3.36729583,1,0,1,0
7266.666666,8.89105296,8.804875264,10.81977828,2.036881927,3.526360525,1,0,1,0
1880,7.539027056,8.116715625,9.903487553,2.583997552,4.007333185,1,0,1,0
3320,8.107720062,8.581731713,10.50962336,2.367123614,3.912023005,1,0,0,0
2640,7.878534196,8.517193191,9.816476176,2.302585093,3.583518938,1,0,0,0
1813.333333,7.502922051,8.44820032,8.804875264,2.397895273,3.63758616,1,0,0,0
2500,7.824046011,7.60090246,8.9226583,1.981001469,3.688879454,1,0,0,0
1280,7.154615357,6.907755279,8.111728083,2.335374915,3.663561646,1,1,0,0
5026.666667,8.522512353,8.581731713,10.05763823,2.427748236,3.555348061,1,1,0,0
1000,6.907755279,7.418580903,8.111728083,2.302585093,3.970291914,1,1,0,0
5253.333335,8.566618075,7.755053139,8.804875264,2.397895273,3.970291914,1,1,0,0
1248.571429,7.12975532,6.753604599,7.957577403,1.791759469,3.912023005,1,1,0,0
3633.333335,8.19790578,7.090076836,8.111728083,2.427748236,3.737669618,1,1,0,0
4400,8.38935982,8.29404964,10.81977828,2.302585093,3.688879454,1,1,0,0
12166.66667,9.406455251,10.05763823,11.10746036,2.427748236,3.610917913,1,1,0,0
7150.000002,8.874867636,9.487972109,11.22524339,2.442347035,3.433987204,1,1,0,0
2360,7.766416898,7.377758908,9.721165996,1.791759469,4.17438727,1,1,0,0
2453.333333,7.805202923,8.111728083,8.804875264,1.734601055,3.36729583,1,1,0,0
1600,7.377758908,9.067239528,9.028018815,1.791759469,4.025351691,1,1,0,0
2166.666666,7.680945167,8.804875264,8.804875264,1.945910149,3.610917913,1,1,0,0
2693.333334,7.898534863,7.888584532,6.907755279,2.036881927,3.688879454,1,1,0,0
3560.000001,8.177515824,8.070906089,8.111728083,1.791759469,3.583518938,1,1,0,0
5733.333333,8.654052374,7.810622991,8.111728083,2.367123614,3.713572067,1,1,0,0
2386.666666,7.777652971,8.070906089,7.418580903,2.512305624,3.713572067,1,1,0,0
1855,7.525639975,7.467371067,8.9226583,2.079441542,3.988984047,1,1,0,0
1890,7.544332108,8.517193191,8.160518247,1.704748092,4.094344562,1,1,0,0
