pexp,lnpexp,lnpincome,lnpproper,lnedu,lnage,mari_dum,region1,region2,pension
8135.561174,9.004,7.755,9.721,0,3.784,1,1,0,1
6241.650939,8.739,8.688,10.414,0,3.989,1,1,0,1
3124.407674,8.047,8.78,10.309,0,4.094,1,1,0,1
2210.557444,7.701,10.127,10.532,0,4.078,1,1,0,1
6399.659085,8.764,8.923,7.824,0,4.143,1,1,0,1
2560.607976,7.848,8.175,6.215,0,4.174,1,1,0,1
1939.140282,7.57,8.517,9.616,0,3.892,1,1,0,1
21547.17508,9.978,10.24,9.68,0,3.638,1,0,1,1
4979.077939,8.513,8.412,8.517,0,3.738,1,0,1,1
2710.802512,7.905,8.517,9.21,0,3.892,1,0,1,1
442.3051374,6.092,7.824,6.62,0,3.932,1,0,1,1
2380.3433,7.775,8.161,10.127,0,3.951,1,0,1,1
4661.068534,8.447,8.517,8.006,0,4.111,1,0,1,1
2032.455608,7.617,5.809,5.809,0,4.127,1,0,1,1
5420.807128,8.598,9.473,8.006,0,4.22,1,0,1,1
1549.984175,7.346,8.006,6.908,0,4.22,1,0,1,1
1639.259673,7.402,9.077,8.923,0,3.951,1,0,1,1
1289.48733,7.162,8.086,8.923,0,4.205,1,0,1,1
2699.98096,7.901,8.923,8.517,0,4.06,1,0,1,1
6843.126522,8.831,9.21,10.191,0,4.205,1,0,0,1
1261.428389,7.14,7.131,9.616,0,4.205,1,0,0,1
1879.949136,7.539,8.294,5.704,0,4.159,1,0,0,1
1034.837822,6.942,7.824,9.616,0,4.143,1,0,0,1
1758.119411,7.472,8.161,9.903,0,3.871,1,0,0,1
2477.486953,7.815,8.161,9.903,0,3.664,1,0,0,1
1567.128119,7.357,8.006,8.112,0,4.19,1,0,0,1
653.276193,6.482,8.374,8.805,0,3.932,1,0,0,1
1657.391069,7.413,6.215,7.824,0,4.143,1,0,0,1
5171.923766,8.551,8.923,8.517,0,4.205,0,1,0,1
3111.935006,8.043,8.112,8.805,0,4.19,0,1,0,1
1900.742731,7.55,8.112,6.502,0,4.06,0,0,1,1
2389.883741,7.779,6.62,9.616,0,4.025,1,0,1,1
2065.236445,7.633,7.824,8.517,0.693,3.892,1,1,0,1
9537.627082,9.163,9.105,10.309,0.693,3.761,1,0,1,1
449.8886015,6.109,7.601,7.601,1.099,3.807,1,0,1,1
648.0708326,6.474,7.313,9.21,1.099,4.205,1,0,1,1
6057.182276,8.709,9.306,10.309,1.099,4.159,1,0,0,1
1704.453823,7.441,7.601,9.68,1.099,3.738,1,0,0,1
1319.489238,7.185,8.086,8.923,1.099,3.497,1,0,0,1
9547.16948,9.164,9.649,8.294,1.386,3.434,1,1,0,1
6476.917618,8.776,8.517,10.463,1.386,4.159,1,0,1,1
1253.882479,7.134,7.195,9.447,1.386,3.784,1,0,1,1
1449.537762,7.279,9.306,9.21,1.386,3.664,1,0,1,1
7136.658867,8.873,8.517,9.616,1.386,3.784,1,0,0,1
3854.513198,8.257,8.805,10.058,1.386,3.466,1,0,0,1
13399.86619,9.503,9.616,11.513,1.609,3.526,1,1,0,1
4559.644778,8.425,7.719,7.131,1.609,3.989,1,1,0,1
6741.245641,8.816,8.987,10.127,1.609,4.159,1,1,0,1
2790.566777,7.934,9.21,9.616,1.609,3.466,1,1,0,1
3740.595117,8.227,8.517,13.132,1.609,3.466,1,1,0,1
3800.925999,8.243,9.21,9.616,1.609,3.638,1,1,0,1
2271.055545,7.728,8.517,9.21,1.609,3.497,1,1,0,1
4750.475513,8.466,8.7,9.616,1.609,4.007,1,1,0,1
2006.204686,7.604,7.419,10.058,1.609,3.784,1,1,0,1
6191.916933,8.731,9.35,10.82,1.609,3.871,1,1,0,1
6431.73751,8.769,8.161,9.616,1.609,3.829,1,0,1,1
5486.248678,8.61,8.817,7.824,1.609,3.689,1,0,1,1
1910.270244,7.555,6.62,7.601,1.609,3.555,1,0,1,1
1964.513675,7.583,8.023,8.294,1.609,3.555,1,0,1,1
1040.024968,6.947,6.502,5.116,1.609,3.526,1,0,1,1
1639.259673,7.402,8.161,9.903,1.609,3.912,1,0,1,1
4610.077744,8.436,8.923,8.517,1.609,3.784,1,0,1,1
1859.383016,7.528,7.719,10.021,1.609,4.043,1,0,1,1
1000.244751,6.908,8.805,8.805,1.609,3.738,1,0,1,1
7302.704223,8.896,9.711,10.309,1.609,3.638,1,0,0,1
1275.380698,7.151,7.313,9.616,1.609,3.555,1,0,0,1
1246.381709,7.128,7.601,9.721,1.609,4.078,1,0,0,1
502.2007801,6.219,6.908,9.21,1.609,3.584,1,0,0,1
1499.669456,7.313,8.7,9.21,1.609,3.555,1,0,0,1
5978.948528,8.696,9.696,10.714,1.792,4.143,1,1,0,1
7480.08923,8.92,8.517,10.127,1.792,4.043,1,1,0,1
1159.796688,7.056,7.824,8.161,1.792,3.989,1,1,0,1
1529.964788,7.333,8.161,8.923,1.792,4.06,1,1,0,1
3258.427513,8.089,8.517,7.824,1.792,3.97,1,1,0,1
1800.82469,7.496,10.434,10.463,1.792,3.526,1,1,0,1
4740.984057,8.464,8.7,7.824,1.792,3.714,1,0,1,1
5497.232155,8.612,9.68,9.393,1.792,3.829,1,0,1,1
3209.915847,8.074,9.105,7.601,1.792,4.06,1,0,1,1
4880.48559,8.493,8.7,10.127,1.792,4.007,1,0,1,1
2335.543721,7.756,6.215,9.616,1.792,4.043,1,0,1,1
2210.557444,7.701,8.355,7.131,1.792,3.85,1,0,1,1
1846.412784,7.521,8.294,6.502,1.792,4.127,1,0,1,1
2250.707747,7.719,8.923,8.006,1.792,4.007,1,0,0,1
4359.008926,8.38,8.517,8.517,1.792,3.526,1,0,0,1
1119.905964,7.021,5.809,8.517,1.792,3.714,1,0,0,1
5541.386394,8.62,8.854,10.597,1.792,4.06,0,0,0,1
21290.15419,9.966,9.21,10.82,1.946,3.664,1,1,0,1
